year,birth.day,birth.mass,v
1969,134,4.8,0.508992390104023
1970,134,4.5,0.508992390104023
1970,135,4.3,0.508992390104023
1970,135,6.5,0.508992390104023
1970,135,6.3,0.508992390104023
1970,135,5.5,0.508992390104023
1970,137,5,0.508992390104023
1970,133,5,0.508992390104023
1970,139,5.8,0.508992390104023
1970,134,5.5,0.508992390104023
1970,133,6.5,0.508992390104023
1970,136,5.5,0.508992390104023
1970,142,6.9,0.508992390104023
1970,141,4,0.508992390104023
1970,140,3.6,0.508992390104023
1970,133,5.9,0.508992390104023
1970,140,5.8,0.508992390104023
1970,133,5.5,0.508992390104023
1971,136,4.3,0.508992390104023
1971,137,6.3,0.508992390104023
1971,139,3.9,0.508992390104023
1971,147,4.4,0.508992390104023
1971,147,4.2,0.508992390104023
1971,143,4,0.508992390104023
1971,146,4.4,0.508992390104023
1971,137,5,1.3900802395358
1971,139,5.8,1.3900802395358
1971,146,3,0.508992390104023
1971,148,4.4,0.508992390104023
1971,136,5.3,0.508992390104023
1971,136,5.5,1.3900802395358
1971,141,4,1.3900802395358
1971,138,5,0.508992390104023
1971,153,4,0.508992390104023
1971,141,3.9,0.508992390104023
1971,143,5.8,0.508992390104023
1971,140,5.8,1.3900802395358
1971,144,5,0.508992390104023
1971,152,3.4,0.508992390104023
1971,147,4.1,0.508992390104023
1971,133,5.5,1.3900802395358
1971,139,5.6,0.508992390104023
1972,136,4.3,1.3900802395358
1972,146,4,0.508992390104023
1972,137,6.3,1.3900802395358
1972,140,5.8,0.508992390104023
1972,150,5.6,0.508992390104023
1972,147,4.4,1.3900802395358
1972,151,4.6,0.508992390104023
1972,143,4.4,0.508992390104023
1972,147,4.2,1.3900802395358
1972,143,4,1.3900802395358
1972,145,4.6,0.508992390104023
1972,137,5,1.57865439366597
1972,139,5.8,1.57865439366597
1972,146,3,1.3900802395358
1972,148,4.4,1.3900802395358
1972,145,3.5,0.508992390104023
1972,136,5.3,1.3900802395358
1972,136,5.5,1.57865439366597
1972,141,4,1.57865439366597
1972,148,3.6,0.508992390104023
1972,138,5,1.3900802395358
1972,141,3.9,1.3900802395358
1972,144,4.7,0.508992390104023
1972,147,4.2,0.508992390104023
1972,143,5.8,1.3900802395358
1972,143,3.6,0.508992390104023
1972,152,3.4,1.3900802395358
1972,144,4.2,0.508992390104023
1972,144,4,0.508992390104023
1972,147,3.7,0.508992390104023
1972,133,5.5,1.57865439366597
1972,139,5.6,1.3900802395358
1972,148,3.6,0.508992390104023
1973,136,4.3,1.57865439366597
1973,137,4,0.508992390104023
1973,137,6.3,1.57865439366597
1973,147,4.4,1.57865439366597
1973,147,4.2,1.57865439366597
1973,143,4,1.57865439366597
1973,137,5,1.55897434079831
1973,140,2.6,0.508992390104023
1973,139,5.8,1.55897434079831
1973,146,3,1.57865439366597
1973,148,4.4,1.57865439366597
1973,136,5.5,1.55897434079831
1973,144,4,0.508992390104023
1973,143,2.2,0.508992390104023
1973,138,5,1.57865439366597
1973,149,3.8,0.508992390104023
1973,134,5.3,0.508992390104023
1973,145,2.9,0.508992390104023
1973,143,5.8,1.57865439366597
1973,140,2,0.508992390104023
1973,152,3.4,1.57865439366597
1973,152,3.5,0.508992390104023
1973,133,5.5,1.55897434079831
1973,139,5.6,1.57865439366597
